Type,Numéro,Alias,Alias structuré,Libellé,Compte provisoire 2014,Budget voté 2015,2016,2017,2018,2019,Mention
Article,12.341,004 12341,00.4.12.341,Service information et presse : frais d'abonnement à des agences de diffusion d'informations,115 168,130 000,123 000,126 321,129 735,133 240,
Article,12.343,004 12343,00.4.12.343,Service de renseignements: frais de fonctionnement; frais d'installation et autres,525 000,525 000,3 400 000,3 427 200,3 495 744,3 565 658,Crédit non limitatif et sans distinction d'exercice
Article,12.344,004 12344,00.4.12.344,Centre de Documentation et de Recherche sur la Résistance et Comité Directeur pour le Souvenir de la Résistance: dépenses diverses,14 773,16 200,16 200,16 200,16 200,16 200,
Article,12.346,004 12346,00.4.12.346,Service information et presse: frais de développement de réseaux électroniques d'information,100 863,95 000,95 000,97 565,80 000,82 000,
Article,12.347,004 12347,00.4.12.347,Centre de Documentation et de Recherche sur l'Enrôlement forcé et Comité Directeur pour le Souvenir de l'Enrôlement forcé: dépenses diverses,26 619,30 600,30 600,30 600,30 600,30 600,Crédit sans distinction d'exercice
Article,12.350,004 12350,00.4.12.350,Dépenses diverses jugées opportunes par le gouvernement,119 728,45 000,45 000,45 000,45 000,45 000,Crédit non limitatif et sans distinction d'exercice
Article,12.360,004 12360,00.4.12.360,Frais en relation avec l'organisation d'élections et de référendums,449 602,600 000,100,500 000,500 000,500 000,Crédit non limitatif et sans distinction d'exercice
Article,12.380,004 12380,00.4.12.380,Réseau radio intégré et unique pour les besoins de divers services publics: installation et location de lignes téléphoniques; redevances; entretien et réparation des équipements radio-électriques; consommation; frais d'experts et d'études,1 317 091,7 715 022,6 737 000,5 199 000,4 843 000,4 843 000,Crédit non limitatif et sans distinction d'exercice
Article,12.385,004 12385,00.4.12.385,Computer Emergency Response Team: frais de mise en oeuvre et d'exploitation des opérations de prévention et de prise en charge de la lutte contre la cybercriminalité,401 246,520 000,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.390,004 12390,00.4.12.390,"Dépenses en relation avec l'élaboration et la mise en oeuvre du plan gouvernemental ""Digital Lëtzebuerg""",,900 000,900 000,900 000,900 000,900 000,Crédit non limitatif et sans distinction d'exercice
Article,33.002,004 33002,00.4.33.002,Participation à la mise en place d'un réseau national de maisons de la laïcité,,100,100,100,100,100,Crédit non limitatif
Article,33.005,004 33005,00.4.33.005,Financement des partis politiques,2 568 761,2 603 595,2 604 000,2 604 000,2 604 000,2 604 000,Crédit non limitatif et sans distinction d'exercice
Article,33.010,004 33010,00.4.33.010,Subsides aux organisations professionnelles de la presse,86 763,0,0,0,0,0,
Article,33.012,004 33012,00.4.33.012,Participation financière de l'Etat dans l'intérêt de la fondation luxembourgeoise pour la Mémoire de la Shoah,,,250 000,250 000,250 000,250 000,Crédit non limitatif et sans distinction d'exercice
Article,33.013,004 33013,00.4.33.013,Subventions dans l'intérêt de la réalisation d'études et de recherches dans le domaine de la coopération européenne et internationale,409 500,0,0,,,,
Article,34.040,004 34040,00.4.34.040,Dommages-intérêts dus à la suite de faits dommageables engageant la responsabilité de l'Etat,901 677,200 000,200 000,200 000,200 000,200 000,Crédit non limitatif et sans distinction d'exercice
Article,34.090,004 34090,00.4.34.090,Subsides jugés opportuns par le gouvernement,18 000,18 000,18 000,18 000,18 000,18 000,
Article,35.060,004 35060,00.4.35.060,Contribution à des organismes internationaux,32 500,58 000,32 500,32 500,32 500,32 500,Crédit non limitatif
Article,43.000,004 43000,00.4.43.000,Remboursement des dépenses relatives aux opérations électorales et référendaires avancées par les communes,1 056 012,1 100 000,100,1 100 000,1 100 000,1 100 000,Crédit non limitatif et sans distinction d'exercice
Article,12.510,004 12510,00.4.12.510,"Frais de route et de séjour, frais de déménagement",1 809,0,1 565,,,,
Article,12.512,004 12512,00.4.12.512,"Frais de route et de séjour, frais de déménagement",,1 215,0,,,,
Article,12.550,004 12550,00.4.12.550,Achat de biens et de services postaux et de télécommunications,2 709,0,0,,,,
Article,12.805,004 12805,00.4.12.805,Achats de biens et services spécifiques,,17 550,0,,,,
Article,12.821,004 12821,00.4.12.821,Frais en relation avec des actes et manifestations de la vie publique à caractère protocolaire ou social; dépenses diverses,253 375,2 474,30 735,,,,
Article,12.860,004 12860,00.4.12.860,Frais en relation avec l'organisation d'élections et de référendums,,31 216,178 750,,,,
Article,43.500,004 43500,00.4.43.500,Remboursement des dépenses relatives aux opérations électorales et référendaires avancées par les communes.,,2 621,0,,,,
Section,00.5,005,00.5,Conseil économique et social,1 013 883,991 623,1 039 947,1 027 247,1 046 807,1 080 522,
Article,11.000,005 11000,00.5.11.000,Traitements des fonctionnaires,423 347,436 713,446 426,455 168,465 336,482 626,Crédit non limitatif et sans distinction d'exercice
Article,11.010,005 11010,00.5.11.010,Indemnités des employés occupés à titre permanent,273 143,216 701,217 064,221 341,226 285,234 693,Crédit non limitatif et sans distinction d'exercice
Article,11.020,005 11020,00.5.11.020,Indemnités des employés occupés à titre temporaire,1 513,1 594,1 615,1 646,1 683,1 745,Crédit non limitatif et sans distinction d'exercice
Article,12.010,005 12010,00.5.12.010,"Frais de route et de séjour, frais de déménagement",5 471,6 000,6 000,6 000,6 000,6 000,
Article,12.040,005 12040,00.5.12.040,Frais de bureau,25 854,0,0,,,,
Article,12.050,005 12050,00.5.12.050,Achat de biens et de services postaux et de télécommunications,11 968,0,0,,,,Crédit sans distinction d'exercice
Article,12.060,005 12060,00.5.12.060,Location et entretien des installations de télécommunications,,0,0,,,,
Article,12.080,005 12080,00.5.12.080,Bâtiments: exploitation et entretien,20 725,22 770,22 160,22 448,22 785,23 172,
Article,12.120,005 12120,00.5.12.120,"Conseil économique et social: indemnités des membres, frais d'experts et d'études; frais de traduction",226 412,230 045,238 759,241 718,244 668,250 760,Crédit non limitatif et sans distinction d'exercice
Article,12.121,005 12121,00.5.12.121,"Délégations luxembourgeoises du Comité économique et social de la Grande Région, du Comité économique et social européen: indemnités des membres, frais d'experts et d'études, frais de traduction",6 466,10 000,10 123,10 257,10 366,10 674,Crédit non limitatif
Article,12.125,005 12125,00.5.12.125,Frais d'experts et d'études en matière informatique,,1 000,1 000,1 000,1 000,1 000,
Article,12.130,005 12130,00.5.12.130,Frais de publication,14 984,0,0,,,,
Article,12.260,005 12260,00.5.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,62 300,62 300,63 110,64 057,65 146,Crédit sans distinction d'exercice
Article,12.300,005 12300,00.5.12.300,Commémoration du 50e anniversaire du Conseil économique et social,,,30 000,,,,
Article,12.310,005 12310,00.5.12.310,"Délégations luxembourgeoises du Comité économique et social de l'UE (CESE) et du Comité économique et social de la Grande Région (CESGR): frais de réunion, frais de secrétariat",,0,0,,,,
Article,35.060,005 35060,00.5.35.060,Contributions à des organismes internationaux,4 000,4 500,4 500,4 559,4 627,4 706,Crédit sans distinction d'exercice
Section,00.6,006,00.6,Haut-Commissariat à la Protection Nationale,361 184,326 560,17 843 689,13 940 000,10 050 000,5 560 000,
Article,12.120,006 12120,00.6.12.120,Agence Nationale de la Sécurité des Systèmes d'Information: frais d'experts et d'études,,200 000,204 000,250 000,300 000,300 000,Crédit non limitatif et sans distinction d'exercice
Article,12.345,006 12345,00.6.12.345,Frais de fonctionnement; frais de bureau; dépenses diverses,40 680,91 560,109 689,150 000,200 000,200 000,
Article,12.356,006 12356,00.6.12.356,Frais de fonctionnement pour la gestion de crises,320 504,35 000,2 000 000,2 000 000,1 000 000,500 000,Crédit non limitatif et sans distinction d'exercice
Article,12.385,006 12385,00.6.12.385,Computer Emergency Response team (GovCert): frais de fonctionnement,,,530 000,540 000,550 000,560 000,Crédit non limitatif et sans distinction d'exercice
Article,33.001,006 33001,00.6.33.001,"Prise en charge, entretien et encadrement de demandeurs de protection internationale; aides en vue d'un retour au pays d'origine; activités péri et parascolaires; dégâts causés à des tiers; frais de contentieux; fonctionnement des foyers d'accueil",,,15 000 000,11 000 000,8 000 000,4 000 000,Crédit non limitatif et sans distinction d'exercice
Section,00.7,007,00.7,Cultes,23 003 621,24 138 099,24 724 257,25 204 205,25 763 805,26 715 488,
Article,11.000,007 11000,00.7.11.000,Traitements des ministres des cultes,22 857 245,23 985 359,24 569 831,25 052 465,25 612 065,26 563 748,Crédit non limitatif et sans distinction d'exercice
Article,12.080,007 12080,00.7.12.080,Séminaire de Luxembourg: bâtiments: exploitation et entretien,22 255,25 000,24 000,24 000,24 000,24 000,
Article,33.010,007 33010,00.7.33.010,Culte catholique: remboursement de frais d'alimentation et de reliure de la bibliothèque du séminaire,6 250,6 250,6 250,6 250,6 250,6 250,
Article,33.011,007 33011,00.7.33.011,Subsides aux cultes protestants,44 261,44 880,44 880,44 880,44 880,44 880,Crédit non limitatif
Article,33.012,007 33012,00.7.33.012,Subsides au culte israélite,24 500,24 500,24 500,24 500,24 500,24 500,Crédit non limitatif
Article,33.013,007 33013,00.7.33.013,Subsides pour activités interconfessionnelles,,3 000,3 000,3 000,3 000,3 000,Crédit non limitatif
Article,33.014,007 33014,00.7.33.014,Subsides au culte catholique,41 150,41 150,41 150,41 150,41 150,41 150,Crédit non limitatif
Article,33.015,007 33015,00.7.33.015,Subsides aux cultes orthodoxes,3 000,3 000,3 000,3 000,3 000,3 000,Crédit non limitatif
Article,33.016,007 33016,00.7.33.016,Subsides au culte musulman,2 480,2 480,2 480,2 480,2 480,2 480,Crédit non limitatif
Article,34.060,007 34060,00.7.34.060,Culte catholique: bourses d'études aux élèves du séminaire,2 480,2 480,2 480,2 480,2 480,2 480,
Article,33.511,007 33511,00.7.33.511,Subsides à caractère bénévole aux administrations privées,,,2 686,,,,
Section,00.8,008,00.8,Médias et Communications,56 196 903,50 708 046,51 517 950,52 003 550,53 977 996,55 296 380,
Article,11.132,008 11132,00.8.11.132,Indemnités pour services extraordinaires,52 663,57 000,57 696,59 072,59 731,61 488,Crédit non limitatif
Article,11.136,008 11136,00.8.11.136,Conseil national des programmes: indemnités pour services extraordinaires,,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.010,008 12010,00.8.12.010,"Frais de route et de séjour, frais de déménagement",,100,100,100,100,100,
Article,12.011,008 12011,00.8.12.011,"Conseil National des programmes: frais de route et de séjour, frais de déménagement",,0,0,,,,
Article,12.012,008 12012,00.8.12.012,Frais de route et de séjour à l'étranger,62 599,110 000,110 000,110 000,110 000,110 000,Crédit non limitatif et sans distinction d'exercice
Article,12.013,008 12013,00.8.12.013,Conseil National des programmes: frais de route et de séjour à l'étranger,,0,0,,,,
Article,12.020,008 12020,00.8.12.020,Frais d'exploitation des véhicules automoteurs,673,1 300,1 300,1 575,1 763,1 655,
Article,12.040,008 12040,00.8.12.040,"Frais de bureau: journaux, livres et périodiques",192,500,500,500,500,500,
Article,12.080,008 12080,00.8.12.080,Bâtiments; exploitation et entretien,1 885,3 495,3 250,3 292,3 342,3 398,
Article,12.120,008 12120,00.8.12.120,Frais d'experts et d'études,50 744,225 000,225 000,225 000,231 000,235 000,Crédit non limitatif et sans distinction d'exercice
Article,12.125,008 12125,00.8.12.125,Frais d'experts et d'études en matière informatique,17 756,21 300,10 000,10 130,10 300,10 500,Crédit sans distinction d'exercice
Article,12.191,008 12191,00.8.12.191,Frais de formation professionnelle,395,250,250,250,250,250,
Article,12.300,008 12300,00.8.12.300,"Conseil National des programmes: indemnités pour services de tiers, honoraires d'experts, frais de documentation, dépenses diverses",,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.345,008 12345,00.8.12.345,"Médias et communications : indemnités pour services de tiers, honoraires d'experts, frais de promotion, frais de documentation, acquisition de machines de bureau et d'équipements spéciaux, dépenses diverses",456 660,487 000,645 000,653 385,663 186,674 460,Crédit non limitatif et sans distinction d'exercice
Article,12.370,008 12370,00.8.12.370,Prise en charge par l'Etat des frais relatifs à l'établissement d'une pige publicitaire luxembourgeoise,204 349,64 350,50 000,30 000,15 000,10 000,Crédit sans distinction d'exercice
Article,31.050,008 31050,00.8.31.050,Promotion de la presse écrite et de la presse en ligne,7 200 273,7 420 000,7 467 000,7 569 567,7 663 011,7 845 992,Crédit non limitatif et sans distinction d'exercice
Article,31.052,008 31052,00.8.31.052,Subside à la société BCE (Broadcast Center Europe) pour contribution aux frais d'exploitation en vue d'assurer le maintien des infrastructures essentielles de télévision,950 000,950 000,950 000,950 000,700 000,700 000,Crédit sans distinction d'exercice
Article,33.012,008 33012,00.8.33.012,Médias et communications: subsides à des associations,,98 463,98 463,98 463,98 463,98 463,
Article,35.030,008 35030,00.8.35.030,Contributions à des organismes internationaux,2 964,5 000,5 000,5 200,5 400,5 400,Crédit non limitatif et sans distinction d'exercice
Article,41.010,008 41010,00.8.41.010,Prise en charge par l'Etat des frais encourus par l'autorité de régulation indépendante en matière postale,,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,41.011,008 41011,00.8.41.011,"Dotation en faveur de l'établissement public ""Commission Nationale pour la Protection des Données""",1 655 000,1 714 200,2 050 922,2 143 385,2 525 130,2 724 425,Crédit non limitatif et sans distinction d'exercice
Article,41.012,008 41012,00.8.41.012,"Dotation dans l'intérêt de l'établissement public ""Fonds national de soutien à la production audiovisuelle""",40 000 000,33 333 000,33 333 000,33 333 000,35 000 000,35 700 000,Crédit non limitatif
Article,41.013,008 41013,00.8.41.013,"Dotation en faveur de l'établissement public ""Autorité Luxembourgeoise Indépendante de l'Audiovisuel""",588 750,724 095,739 498,753 447,767 965,789 524,Crédit non limitatif
Article,41.014,008 41014,00.8.41.014,Dotation dans l'intérêt de l'établissement public chargé de diffuser des programmes de radio socioculturels,4 952 000,5 492 993,5 768 871,6 057 184,6 122 855,6 325 225,Crédit non limitatif
Article,35.530,008 35530,00.8.35.530,Contributions à des organismes internationaux,,,2 100,,,,
Section,00.9,009,00.9,Commission consultative des Droits de l'Homme du Grand-Duché de Luxembourg,175 323,282 859,292 700,298 017,304 070,314 265,
Article,11.010,009 11010,00.9.11.010,Indemnités des employés occupés à titre permanent,144 552,245 859,257 600,262 658,268 525,278 503,Crédit non limitatif et sans distinction d'exercice
Article,11.130,009 11130,00.9.11.130,Indemnités pour services extraordinaires,1 125,1 200,1 200,1 200,1 200,1 200,
Article,12.000,009 12000,00.9.12.000,Indemnités pour services de tiers,4 144,5 000,4 500,4 558,4 626,4 707,
Article,12.010,009 12010,00.9.12.010,"Frais de route et de séjour, frais de déménagement",,100,100,100,100,100,
Article,12.011,009 12011,00.9.12.011,Frais de route et de séjour à l'étranger,4 709,9 000,7 500,7 500,7 500,7 500,Crédit non limitatif et sans distinction d'exercice
Article,12.040,009 12040,00.9.12.040,Frais de bureau,8 014,0,0,,,,
Article,12.050,009 12050,00.9.12.050,Achat de biens et de services postaux et de télécommunications,2 347,0,0,,,,
Article,12.080,009 12080,00.9.12.080,Bâtiments: exploitation et entretien,576,400,500,500,500,500,
Article,12.100,009 12100,00.9.12.100,Loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.120,009 12120,00.9.12.120,Frais d'experts et d'études,1 038,1 200,0,,,,Crédit sans distinction d'exercice
Article,12.130,009 12130,00.9.12.130,Frais de publication,2 418,0,0,,,,
Article,12.190,009 12190,00.9.12.190,"Colloques, séminaires, stages et journées d'études, frais d'organisation et de participation",2 038,3 500,5 000,5 000,5 000,5 000,Crédit sans distinction d'exercice
Article,12.260,009 12260,00.9.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,8 100,7 800,7 901,8 019,8 155,Crédit sans distinction d'exercice
Article,35.060,009 35060,00.9.35.060,Contribution à des organismes internationaux,4 362,8 400,8 400,8 500,8 500,8 500,Crédit non limitatif
Département,01,01,01,Ministère des Affaires étrangères et européennes,442 734 671,496 955 193,466 489 012,474 530 709,492 040 695,521 166 438,
Section,01.0,010,01.0,Dépenses générales,4 663 806,4 162 608,3 343 632,4 260 458,4 258 824,4 327 513,
Article,11.130,010 11130,01.0.11.130,Indemnités pour services extraordinaires,19 526,20 250,20 250,20 493,20 841,21 091,
Article,11.300,010 11300,01.0.11.300,Frais de personnel en relation avec le siège du Luxembourg comme membre non permanent du Conseil de Sécurité des Nations Unies,432 967,135 113,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.012,010 12012,01.0.12.012,Frais de route et de séjour à l'étranger,1 186 731,1 300 000,1 250 000,1 266 250,1 285 244,1 307 093,Crédit non limitatif et sans distinction d'exercice
Article,12.020,010 12020,01.0.12.020,Frais d'exploitation des véhicules automoteurs,3 872,5 500,5 000,5 065,5 141,5 228,
Article,12.040,010 12040,01.0.12.040,Frais de bureau,72 496,169 170,176 000,178 288,180 962,184 039,Crédit sans distinction d'exercice
Article,12.060,010 12060,01.0.12.060,"Coût du fonctionnement du système de réception, de circulation et d'archivage de l'information du Ministère des affaires étrangères et de ses missions à l'étranger; frais d'assistance et de formation y relatifs",1 435 119,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.061,010 12061,01.0.12.061,Frais d'activation et d'abonnement pour système de communication d'urgence,,22 470,22 000,22 286,22 620,23 005,Crédit non limitatif et sans distinction d'exercice
Article,12.070,010 12070,01.0.12.070,Frais d'entretien des équipements informatiques,1 862,1 800,1 800,1 823,1 851,1 882,
Article,12.080,010 12080,01.0.12.080,Bâtiments: exploitation et entretien,27 122,24 000,24 000,24 312,24 677,25 096,Crédit sans distinction d'exercice
Article,12.120,010 12120,01.0.12.120,Frais d'experts et d'études,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.121,010 12121,01.0.12.121,Frais de traduction,2 250,3 150,3 000,3 039,3 085,3 137,Crédit sans distinction d'exercice
Article,12.125,010 12125,01.0.12.125,"Frais d'entretien, de fonctionnement et de maintenance des sites Internet du Ministère des Affaires Etrangères et de ses missions à l'étranger; dépenses diverses",26 012,16 050,9 350,9 472,9 614,9 777,Crédit sans distinction d'exercice
Article,12.140,010 12140,01.0.12.140,"Actions d'information et de sensibilisation de l'opinion publique luxembourgeoise relatives à l'Union Européenne et à son élargissement; activités de promotion du Luxembourg, notamment dans le cadre des activités des missions diplomatiques et consulaires",34 376,74 500,16 000,24 000,25 000,25 425,Crédit non limitatif et sans distinction d'exercice
Article,12.190,010 12190,01.0.12.190,"Participation à des stages et cours de perfectionnement; participation à des cours de formation en vue des concours d'admission à des organisations internationales ou européennes, stages d'accueil pour jeunes cadres: frais d'organisation et de participation",1 036,7 650,8 000,8 104,8 226,8 365,Crédit sans distinction d'exercice
Article,12.192,010 12192,01.0.12.192,Frais d'organisation et de réalisation de conférences au Luxembourg,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.230,010 12230,01.0.12.230,Frais en relation avec des actes et manifestations de la vie publique à caractère protocolaire ou social; dépenses diverses,,,120 000,121 560,123 383,125 481,Crédit non limitatif et sans distinction d'exercice
Article,12.250,010 12250,01.0.12.250,"Activités en relation avec le siège de membre non-permanent du Luxembourg au Conseil de sécurité des Nations Unies, activités des missions diplomatiques et consulaires dans le même but",134 780,5 000,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.251,010 12251,01.0.12.251,Prise en charge transitoire des frais de fonctionnement de la Cour d'appel de la juridiction unifiée en matière de brevets,,1 016 438,465 000,1 262 985,1 290 623,1 314 794,Crédit non limitatif et sans distinction d'exercice
Article,12.300,010 12300,01.0.12.300,Passeports et visas: frais d'acquisition de matériel; entretien et réparation des machines; dépenses diverses,641 023,758 215,708 533,794 796,735 732,746 856,Crédit non limitatif et sans distinction d'exercice
Article,12.310,010 12310,01.0.12.310,Achat de timbres de chancellerie,34 500,38 000,38 000,38 494,39 071,39 736,Crédit non limitatif
